Ord_id,Order_ID,Order_Date,Order_Priority
59,9509,3/15/2013,NOT SPECIFIED
60,9763,3/22/2013,MEDIUM
61,9927,3/29/2013,HIGH
62,10022,4/5/2013,LOW
63,10437,4/12/2013,CRITICAL
64,10499,4/19/2013,NOT SPECIFIED
65,10535,4/26/2013,LOW
66,10789,5/3/2013,NOT SPECIFIED
67,10791,5/10/2013,NOT SPECIFIED
68,10945,5/17/2013,MEDIUM
69,11137,5/24/2013,HIGH
70,11202,5/31/2013,MEDIUM
71,11456,6/7/2013,LOW
72,11460,6/14/2013,HIGH
73,11495,6/21/2013,HIGH
74,11911,6/28/2013,CRITICAL
75,11941,7/5/2013,CRITICAL
76,12096,7/12/2013,MEDIUM
77,12289,7/19/2013,LOW
78,12352,7/26/2013,MEDIUM
79,12419,11/2/2012,CRITICAL
80,12485,11/9/2012,CRITICAL
81,12544,11/16/2012,LOW
82,12704,11/23/2012,LOW
83,12771,11/30/2012,CRITICAL
84,12929,12/7/2012,CRITICAL
85,13280,12/14/2012,HIGH
86,13313,12/21/2012,NOT SPECIFIED
87,13346,12/28/2012,LOW
88,13702,1/4/2013,LOW
89,13795,1/11/2013,NOT SPECIFIED
90,14116,1/18/2013,HIGH
91,14372,1/25/2013,CRITICAL
92,14726,2/1/2013,LOW
93,14819,2/8/2013,NOT SPECIFIED
94,15106,2/15/2013,NOT SPECIFIED
95,15108,2/22/2013,HIGH
96,15205,3/1/2013,CRITICAL
97,15591,3/8/2013,CRITICAL
98,15907,3/15/2013,HIGH
99,15937,3/22/2013,LOW
100,16039,3/29/2013,HIGH
101,16193,4/5/2013,NOT SPECIFIED
102,16423,4/12/2013,MEDIUM
103,16451,4/19/2013,NOT SPECIFIED
104,16545,4/26/2013,NOT SPECIFIED
105,16547,5/3/2013,NOT SPECIFIED
106,16706,5/10/2013,HIGH
107,16741,5/17/2013,MEDIUM
108,16932,5/24/2013,CRITICAL
109,17283,5/31/2013,NOT SPECIFIED
110,17286,6/7/2013,HIGH
111,17409,6/14/2013,NOT SPECIFIED
112,17764,6/21/2013,LOW
113,18080,6/28/2013,HIGH
114,18113,7/5/2013,NOT SPECIFIED
115,18144,7/12/2013,CRITICAL
116,18308,7/19/2013,NOT SPECIFIED
117,18887,7/26/2013,NOT SPECIFIED
118,19010,11/2/2012,LOW
119,19078,11/9/2012,CRITICAL
120,19138,11/16/2012,LOW
121,19655,11/23/2012,HIGH
122,19686,11/30/2012,MEDIUM
123,20007,12/7/2012,NOT SPECIFIED
124,20071,12/14/2012,MEDIUM
125,20160,12/21/2012,LOW
126,20263,12/28/2012,MEDIUM
127,21285,1/4/2013,MEDIUM
128,21383,1/11/2013,LOW
129,21607,1/18/2013,NOT SPECIFIED
130,21636,1/25/2013,LOW
131,21889,2/1/2013,LOW
132,22151,2/8/2013,HIGH
133,22342,2/15/2013,LOW
134,22469,2/22/2013,HIGH
135,22501,3/1/2013,HIGH
136,22532,3/8/2013,CRITICAL
137,23264,3/15/2013,CRITICAL
138,23488,3/22/2013,CRITICAL
139,23584,3/29/2013,CRITICAL
140,24007,4/5/2013,LOW
141,24038,4/12/2013,HIGH
142,24097,4/19/2013,HIGH
143,24128,4/26/2013,HIGH
144,24294,5/3/2013,NOT SPECIFIED
145,24387,5/10/2013,CRITICAL
146,24515,5/17/2013,CRITICAL
147,24743,5/24/2013,LOW
148,24871,5/31/2013,MEDIUM
149,25318,6/7/2013,CRITICAL
150,25377,6/14/2013,LOW
151,25634,6/21/2013,NOT SPECIFIED
152,25733,6/28/2013,LOW
153,25767,7/5/2013,HIGH
154,26023,7/12/2013,HIGH
155,26051,7/19/2013,NOT SPECIFIED
156,26116,7/26/2013,CRITICAL
157,26182,11/2/2012,NOT SPECIFIED
158,26272,11/9/2012,LOW
159,26370,11/16/2012,NOT SPECIFIED
160,26499,11/23/2012,MEDIUM
161,26531,11/30/2012,MEDIUM
162,26567,12/7/2012,CRITICAL
163,26854,12/14/2012,NOT SPECIFIED
164,27109,12/21/2012,CRITICAL
165,27111,12/28/2012,HIGH
166,27264,1/4/2013,LOW
167,27392,1/11/2013,LOW
168,27553,1/18/2013,MEDIUM
169,27555,1/25/2013,CRITICAL
170,27680,2/1/2013,CRITICAL
171,27778,2/8/2013,CRITICAL
172,27909,2/15/2013,CRITICAL
173,28003,2/22/2013,CRITICAL
174,28035,3/1/2013,NOT SPECIFIED
175,28135,3/8/2013,CRITICAL
176,28165,3/15/2013,NOT SPECIFIED
177,28289,3/22/2013,HIGH
178,28486,3/29/2013,HIGH
179,28675,4/5/2013,CRITICAL
180,28870,4/12/2013,HIGH
181,28871,4/19/2013,HIGH
182,29030,4/26/2013,MEDIUM
183,29095,5/3/2013,NOT SPECIFIED
184,29287,5/10/2013,HIGH
185,29510,5/17/2013,CRITICAL
186,29795,5/24/2013,HIGH
187,29861,5/31/2013,CRITICAL
188,30658,6/7/2013,MEDIUM
189,30947,6/14/2013,LOW
190,31077,6/21/2013,NOT SPECIFIED
191,31111,6/28/2013,NOT SPECIFIED
192,31169,7/5/2013,LOW
193,31270,7/12/2013,MEDIUM
194,31364,7/19/2013,NOT SPECIFIED
195,31393,7/26/2013,CRITICAL
196,31492,11/2/2012,CRITICAL
197,31558,11/9/2012,LOW
198,31618,11/16/2012,CRITICAL
199,31684,11/23/2012,CRITICAL
200,31781,11/30/2012,MEDIUM
201,32193,12/7/2012,LOW
202,32229,12/14/2012,HIGH
203,32743,12/21/2012,CRITICAL
204,32806,12/28/2012,CRITICAL
205,33123,1/4/2013,MEDIUM
206,33159,1/11/2013,MEDIUM
207,33186,1/18/2013,LOW
208,33377,1/25/2013,HIGH
209,33444,2/1/2013,MEDIUM
210,33703,2/8/2013,NOT SPECIFIED
211,33734,2/15/2013,NOT SPECIFIED
212,33888,2/22/2013,NOT SPECIFIED
213,33894,3/1/2013,CRITICAL
214,33922,3/8/2013,NOT SPECIFIED
215,34177,3/15/2013,HIGH
216,34215,3/22/2013,HIGH
217,34246,3/29/2013,CRITICAL
218,34631,4/5/2013,NOT SPECIFIED
219,35047,4/12/2013,MEDIUM
220,35266,4/19/2013,NOT SPECIFIED
221,35847,4/26/2013,CRITICAL
222,36001,5/3/2013,LOW
223,36134,5/10/2013,LOW
224,36135,5/17/2013,NOT SPECIFIED
225,36644,5/24/2013,HIGH
226,36646,5/31/2013,MEDIUM
227,36707,6/7/2013,MEDIUM
228,37253,6/14/2013,HIGH
229,37541,6/21/2013,MEDIUM
230,37634,6/28/2013,MEDIUM
231,37793,7/5/2013,NOT SPECIFIED
232,37860,7/12/2013,MEDIUM
233,38884,7/19/2013,HIGH
234,39364,7/26/2013,HIGH
235,39457,11/2/2012,CRITICAL
236,39683,11/9/2012,HIGH
237,39846,11/16/2012,LOW
238,40036,11/23/2012,NOT SPECIFIED
239,40067,11/30/2012,LOW
240,40132,12/7/2012,LOW
241,40160,12/14/2012,CRITICAL
242,40518,12/21/2012,CRITICAL
243,40804,12/28/2012,MEDIUM
244,40902,1/4/2013,LOW
245,41063,1/11/2013,LOW
246,41153,1/18/2013,MEDIUM
247,41184,1/25/2013,HIGH
248,41409,2/1/2013,NOT SPECIFIED
249,41696,2/8/2013,NOT SPECIFIED
250,42209,2/15/2013,HIGH
251,42561,2/22/2013,LOW
252,42564,3/1/2013,LOW
253,42695,3/8/2013,NOT SPECIFIED
254,42981,3/15/2013,CRITICAL
255,43109,3/22/2013,CRITICAL
256,43203,3/29/2013,NOT SPECIFIED
257,43236,4/5/2013,NOT SPECIFIED
258,43267,4/12/2013,CRITICAL
259,43329,4/19/2013,MEDIUM
260,43330,4/26/2013,NOT SPECIFIED
261,43364,5/3/2013,HIGH
262,43392,5/10/2013,MEDIUM
263,43781,5/17/2013,NOT SPECIFIED
264,44071,5/24/2013,NOT SPECIFIED
265,44519,5/31/2013,HIGH
266,44708,6/7/2013,NOT SPECIFIED
267,44772,6/14/2013,NOT SPECIFIED
268,44839,6/21/2013,CRITICAL
269,45217,6/28/2013,NOT SPECIFIED
270,45440,7/5/2013,CRITICAL
271,45766,7/12/2013,HIGH
272,45861,7/19/2013,MEDIUM
273,45957,7/26/2013,CRITICAL
274,46912,11/2/2012,LOW
275,46980,11/9/2012,CRITICAL
276,47460,11/16/2012,CRITICAL
277,47462,11/23/2012,HIGH
278,47620,11/30/2012,LOW
279,47749,12/7/2012,MEDIUM
280,47873,12/14/2012,CRITICAL
281,47943,12/21/2012,MEDIUM
282,48101,12/28/2012,HIGH
283,48295,1/4/2013,MEDIUM
284,48839,1/11/2013,CRITICAL
285,49154,1/18/2013,MEDIUM
286,49921,1/25/2013,LOW
287,49952,2/1/2013,HIGH
288,50117,2/8/2013,CRITICAL
289,50278,2/15/2013,HIGH
290,50374,2/22/2013,NOT SPECIFIED
291,50565,3/1/2013,HIGH
292,50688,3/8/2013,CRITICAL
293,50754,3/15/2013,NOT SPECIFIED
294,50914,3/22/2013,CRITICAL
295,51169,3/29/2013,HIGH
296,51938,4/5/2013,LOW
297,51970,4/12/2013,NOT SPECIFIED
298,51971,4/19/2013,NOT SPECIFIED
299,52193,4/26/2013,NOT SPECIFIED
300,52321,5/3/2013,HIGH
301,52386,5/10/2013,HIGH
302,52807,5/17/2013,MEDIUM
303,52929,5/24/2013,HIGH
304,52964,5/31/2013,CRITICAL
305,53156,6/7/2013,NOT SPECIFIED
306,53511,6/14/2013,MEDIUM
307,53797,6/21/2013,CRITICAL
308,53990,6/28/2013,NOT SPECIFIED
309,54083,7/5/2013,HIGH
310,54274,7/12/2013,NOT SPECIFIED
311,54276,7/19/2013,NOT SPECIFIED
312,54528,7/26/2013,MEDIUM
313,54567,11/2/2012,MEDIUM
314,54628,11/9/2012,HIGH
315,55298,11/16/2012,CRITICAL
316,55363,11/23/2012,HIGH
317,55366,11/30/2012,CRITICAL
318,55715,12/7/2012,CRITICAL
319,55875,12/14/2012,CRITICAL
320,56453,12/21/2012,CRITICAL
321,57127,12/28/2012,LOW
322,57344,1/4/2013,HIGH
323,57509,1/11/2013,LOW
324,57600,1/18/2013,CRITICAL
325,58055,1/25/2013,CRITICAL
326,58144,2/1/2013,LOW
327,58150,2/8/2013,CRITICAL
328,58340,2/15/2013,MEDIUM
329,58368,2/22/2013,HIGH
330,58434,3/1/2013,HIGH
331,58626,3/8/2013,HIGH
332,58688,3/15/2013,NOT SPECIFIED
333,59045,3/22/2013,CRITICAL
334,59047,3/29/2013,NOT SPECIFIED
335,59202,4/5/2013,MEDIUM
336,59207,4/12/2013,CRITICAL
337,59234,4/19/2013,LOW
338,59395,4/26/2013,CRITICAL
339,59558,5/3/2013,NOT SPECIFIED
340,59585,5/10/2013,HIGH
341,59651,5/17/2013,CRITICAL
342,645,5/24/2013,HIGH
343,769,5/31/2013,MEDIUM
344,773,6/7/2013,MEDIUM
345,1187,6/14/2013,MEDIUM
346,2339,6/21/2013,LOW
347,3521,6/28/2013,LOW
348,4007,7/5/2013,HIGH
349,4416,7/12/2013,LOW
350,4454,7/19/2013,LOW
351,5153,7/26/2013,CRITICAL
352,5446,11/2/2012,LOW
353,8131,11/9/2012,CRITICAL
354,8994,11/16/2012,LOW
355,9027,11/23/2012,LOW
356,9216,11/30/2012,MEDIUM
357,9537,12/7/2012,NOT SPECIFIED
358,9574,12/14/2012,MEDIUM
359,10435,12/21/2012,MEDIUM
360,10851,12/28/2012,HIGH
361,10852,1/4/2013,HIGH
362,11269,1/11/2013,LOW
363,11362,1/18/2013,LOW
364,11968,1/25/2013,LOW
365,12293,2/1/2013,HIGH
366,12773,2/8/2013,LOW
367,12934,2/15/2013,NOT SPECIFIED
368,13120,2/22/2013,LOW
369,13604,3/1/2013,NOT SPECIFIED
370,13927,3/8/2013,LOW
371,15044,3/15/2013,LOW
372,15139,3/22/2013,HIGH
373,15463,3/29/2013,LOW
374,15618,4/5/2013,MEDIUM
375,16100,4/12/2013,MEDIUM
376,16320,4/19/2013,NOT SPECIFIED
377,16419,4/26/2013,NOT SPECIFIED
378,17090,5/3/2013,LOW
379,17315,5/10/2013,LOW
380,17376,5/17/2013,HIGH
381,18210,5/24/2013,NOT SPECIFIED
382,18273,5/31/2013,LOW
383,18788,6/7/2013,NOT SPECIFIED
384,19042,6/14/2013,CRITICAL
385,19073,6/21/2013,NOT SPECIFIED
386,19365,6/28/2013,MEDIUM
387,19617,7/5/2013,LOW
388,20033,7/12/2013,CRITICAL
389,21223,7/19/2013,NOT SPECIFIED
390,21378,7/26/2013,MEDIUM
391,21542,11/2/2012,HIGH
392,22656,11/9/2012,NOT SPECIFIED
393,22695,11/16/2012,LOW
394,23076,11/23/2012,CRITICAL
395,24067,11/30/2012,HIGH
396,24388,12/7/2012,CRITICAL
397,24451,12/14/2012,CRITICAL
398,24806,12/21/2012,NOT SPECIFIED
399,24965,12/28/2012,LOW
400,25154,1/4/2013,HIGH
401,25315,1/11/2013,LOW
402,25376,1/18/2013,CRITICAL
403,26240,1/25/2013,CRITICAL
404,26791,2/1/2013,LOW
405,28836,2/8/2013,HIGH
406,28995,2/15/2013,HIGH
407,29121,2/22/2013,MEDIUM
408,29319,3/1/2013,LOW
409,29382,3/8/2013,HIGH
410,29445,3/15/2013,HIGH
411,29762,3/22/2013,CRITICAL
412,30048,3/29/2013,MEDIUM
413,30243,4/5/2013,CRITICAL
414,30372,4/12/2013,HIGH
415,30499,4/19/2013,HIGH
416,32199,4/26/2013,HIGH
417,32327,5/3/2013,LOW
418,32676,5/10/2013,CRITICAL
419,32835,5/17/2013,MEDIUM
420,32869,5/24/2013,MEDIUM
421,33763,5/31/2013,NOT SPECIFIED
422,34048,6/7/2013,LOW
423,34275,6/14/2013,LOW
424,34438,6/21/2013,HIGH
425,34880,6/28/2013,HIGH
426,34978,7/5/2013,HIGH
427,35141,7/12/2013,MEDIUM
428,35300,7/19/2013,MEDIUM
429,35558,7/26/2013,CRITICAL
430,36293,11/2/2012,MEDIUM
431,36516,11/9/2012,MEDIUM
432,36677,11/16/2012,LOW
433,37185,11/23/2012,HIGH
434,37888,11/30/2012,CRITICAL
435,38310,12/7/2012,HIGH
436,40327,12/14/2012,MEDIUM
437,40480,12/21/2012,CRITICAL
438,40800,12/28/2012,NOT SPECIFIED
439,40835,1/4/2013,HIGH
440,40871,1/11/2013,NOT SPECIFIED
441,41570,1/18/2013,NOT SPECIFIED
442,41991,1/25/2013,LOW
443,42400,2/1/2013,LOW
444,42754,2/8/2013,CRITICAL
445,42918,2/15/2013,HIGH
446,42944,2/22/2013,CRITICAL
447,44037,3/1/2013,HIGH
448,44387,3/8/2013,LOW
449,44576,3/15/2013,NOT SPECIFIED
450,45601,3/22/2013,HIGH
451,45606,3/29/2013,MEDIUM
452,46119,4/5/2013,CRITICAL
453,46756,4/12/2013,MEDIUM
454,47714,4/19/2013,MEDIUM
455,47846,4/26/2013,HIGH
456,47876,5/3/2013,HIGH
457,48067,5/10/2013,LOW
458,48199,5/17/2013,NOT SPECIFIED
459,49029,5/24/2013,HIGH
460,49216,5/31/2013,HIGH
461,49990,6/7/2013,NOT SPECIFIED
462,50081,6/14/2013,NOT SPECIFIED
463,50404,6/21/2013,HIGH
464,50784,6/28/2013,HIGH
465,50850,7/5/2013,CRITICAL
466,51075,7/12/2013,NOT SPECIFIED
467,51461,7/19/2013,NOT SPECIFIED
468,51558,7/26/2013,NOT SPECIFIED
469,52130,11/2/2012,LOW
470,52482,11/9/2012,CRITICAL
471,53410,11/16/2012,CRITICAL
472,53477,11/23/2012,HIGH
473,53508,11/30/2012,HIGH
474,53703,12/7/2012,NOT SPECIFIED
475,54115,12/14/2012,LOW
476,54437,12/21/2012,HIGH
477,54501,12/28/2012,CRITICAL
478,54753,1/4/2013,MEDIUM
479,55138,1/11/2013,HIGH
480,55271,1/18/2013,MEDIUM
481,55331,1/25/2013,HIGH
482,55618,2/1/2013,MEDIUM
483,56645,2/8/2013,LOW
484,56803,2/15/2013,NOT SPECIFIED
485,57159,2/22/2013,CRITICAL
486,57507,3/1/2013,CRITICAL
487,57922,3/8/2013,CRITICAL
488,58117,3/15/2013,CRITICAL
489,58278,3/22/2013,HIGH
490,58502,3/29/2013,CRITICAL
491,58788,4/5/2013,LOW
492,58947,4/12/2013,NOT SPECIFIED
493,59074,4/19/2013,LOW
494,59233,4/26/2013,HIGH
495,59425,5/3/2013,MEDIUM
496,59750,5/10/2013,LOW
497,35,5/17/2013,NOT SPECIFIED
498,294,5/24/2013,MEDIUM
499,450,5/31/2013,NOT SPECIFIED
500,1028,6/7/2013,HIGH
501,1314,6/14/2013,MEDIUM
502,2279,6/21/2013,MEDIUM
503,2465,6/28/2013,CRITICAL
504,2530,7/5/2013,MEDIUM
505,2883,7/12/2013,LOW
506,3362,7/19/2013,LOW
507,5318,7/26/2013,HIGH
508,5988,11/2/2012,NOT SPECIFIED
509,6115,11/9/2012,MEDIUM
510,6337,11/16/2012,NOT SPECIFIED
511,6434,11/23/2012,HIGH
512,7136,11/30/2012,HIGH
513,7489,12/7/2012,CRITICAL
514,7968,12/14/2012,LOW
515,8227,12/21/2012,NOT SPECIFIED
516,9123,12/28/2012,CRITICAL
517,9792,1/4/2013,LOW
518,9860,1/11/2013,CRITICAL
519,10310,1/18/2013,LOW
520,10369,1/25/2013,LOW
521,10692,2/1/2013,LOW
522,11553,2/8/2013,MEDIUM
523,11776,2/15/2013,LOW
524,11782,2/22/2013,LOW
525,12199,3/1/2013,LOW
526,14275,3/8/2013,LOW
527,14535,3/15/2013,NOT SPECIFIED
528,15329,3/22/2013,HIGH
529,15621,3/29/2013,CRITICAL
530,17826,4/5/2013,HIGH
531,17926,4/12/2013,CRITICAL
532,18247,4/19/2013,NOT SPECIFIED
533,18471,4/26/2013,NOT SPECIFIED
534,19813,5/3/2013,CRITICAL
535,20322,5/10/2013,CRITICAL
536,20422,5/17/2013,HIGH
537,20448,5/24/2013,CRITICAL
538,21892,5/31/2013,HIGH
539,22980,6/7/2013,NOT SPECIFIED
540,23907,6/14/2013,NOT SPECIFIED
541,24064,6/21/2013,MEDIUM
542,24132,6/28/2013,LOW
543,24576,7/5/2013,NOT SPECIFIED
544,25248,7/12/2013,MEDIUM
545,25475,7/19/2013,CRITICAL
546,26978,7/26/2013,MEDIUM
547,27105,11/2/2012,NOT SPECIFIED
548,28068,11/9/2012,LOW
549,28802,11/16/2012,HIGH
550,28839,11/23/2012,LOW
551,29252,11/30/2012,LOW
552,31941,12/7/2012,MEDIUM
553,32418,12/14/2012,NOT SPECIFIED
554,34241,12/21/2012,LOW
555,34816,12/28/2012,NOT SPECIFIED
556,35011,1/4/2013,NOT SPECIFIED
557,36068,1/11/2013,CRITICAL
558,36930,1/18/2013,MEDIUM
559,37315,1/25/2013,LOW
560,37925,2/1/2013,MEDIUM
561,38021,2/8/2013,MEDIUM
562,38336,2/15/2013,CRITICAL
563,38565,2/22/2013,CRITICAL
564,39783,3/1/2013,NOT SPECIFIED
565,42500,3/8/2013,NOT SPECIFIED
566,44162,3/15/2013,HIGH
567,44256,3/22/2013,LOW
568,44320,3/29/2013,MEDIUM
569,45377,4/5/2013,LOW
570,47367,4/12/2013,MEDIUM
571,47750,4/19/2013,LOW
572,48388,4/26/2013,HIGH
573,49059,5/3/2013,MEDIUM
574,49510,5/10/2013,CRITICAL
575,49634,5/17/2013,NOT SPECIFIED
576,50210,5/24/2013,LOW
577,50503,5/31/2013,MEDIUM
578,50816,6/7/2013,HIGH
579,51073,6/14/2013,NOT SPECIFIED
580,51584,6/21/2013,CRITICAL
581,51879,6/28/2013,NOT SPECIFIED
582,52288,7/5/2013,HIGH
583,53190,7/12/2013,MEDIUM
584,53536,7/19/2013,HIGH
585,53572,7/26/2013,MEDIUM
586,53825,11/2/2012,LOW
587,53863,11/9/2012,HIGH
588,54119,11/16/2012,MEDIUM
589,56224,11/23/2012,MEDIUM
590,56293,11/30/2012,NOT SPECIFIED
591,57959,12/7/2012,MEDIUM
592,58500,12/14/2012,LOW
593,59584,12/21/2012,MEDIUM
594,261,12/28/2012,MEDIUM
595,928,1/4/2013,LOW
596,1282,1/11/2013,NOT SPECIFIED
597,1856,1/18/2013,NOT SPECIFIED
598,1925,1/25/2013,CRITICAL
599,2848,2/1/2013,CRITICAL
600,5504,2/8/2013,HIGH
601,8390,2/15/2013,MEDIUM
602,8545,2/22/2013,LOW
603,9573,3/1/2013,MEDIUM
604,9892,3/8/2013,MEDIUM
605,10048,3/15/2013,NOT SPECIFIED
606,10144,3/22/2013,CRITICAL
607,10432,3/29/2013,LOW
608,10661,4/5/2013,NOT SPECIFIED
609,12806,4/12/2013,NOT SPECIFIED
610,13158,4/19/2013,CRITICAL
611,13507,4/26/2013,MEDIUM
612,14375,5/3/2013,MEDIUM
613,14627,5/10/2013,MEDIUM
614,14852,5/17/2013,MEDIUM
615,16230,5/24/2013,LOW
616,19074,5/31/2013,CRITICAL
617,20194,6/7/2013,HIGH
618,21024,6/14/2013,MEDIUM
619,21509,6/21/2013,HIGH
620,21856,6/28/2013,NOT SPECIFIED
621,22119,7/5/2013,LOW
622,22534,7/12/2013,MEDIUM
623,22629,7/19/2013,LOW
624,23011,7/26/2013,LOW
625,24070,11/2/2012,HIGH
626,24737,11/9/2012,HIGH
627,26373,11/16/2012,MEDIUM
628,27174,11/23/2012,CRITICAL
629,27876,11/30/2012,LOW
630,28582,12/7/2012,NOT SPECIFIED
631,28868,12/14/2012,HIGH
632,29857,12/21/2012,MEDIUM
633,29921,12/28/2012,MEDIUM
634,30659,1/4/2013,CRITICAL
635,30660,1/11/2013,CRITICAL
636,30883,1/18/2013,MEDIUM
637,32871,1/25/2013,HIGH
638,33600,2/1/2013,LOW
639,33632,2/8/2013,CRITICAL
640,33665,2/15/2013,LOW
641,34434,2/22/2013,NOT SPECIFIED
642,34753,3/1/2013,NOT SPECIFIED
643,35364,3/8/2013,CRITICAL
644,35812,3/15/2013,CRITICAL
645,37063,3/22/2013,NOT SPECIFIED
646,37281,3/29/2013,MEDIUM
647,37798,4/5/2013,HIGH
648,38017,4/12/2013,LOW
649,38272,4/19/2013,CRITICAL
650,39301,4/26/2013,MEDIUM
651,39367,5/3/2013,CRITICAL
652,39655,5/10/2013,HIGH
653,40803,5/17/2013,LOW
654,40806,5/24/2013,CRITICAL
655,43523,6/7/2013,MEDIUM
656,44199,7/5/2013,LOW
657,44231,11/2/2012,NOT SPECIFIED
658,45573,11/9/2012,HIGH
659,45763,11/16/2012,HIGH
660,48165,11/23/2012,HIGH
661,48197,11/30/2012,NOT SPECIFIED
662,48484,12/7/2012,MEDIUM
663,49153,12/14/2012,MEDIUM
664,49412,12/21/2012,CRITICAL
665,49761,12/28/2012,NOT SPECIFIED
666,50310,1/4/2013,MEDIUM
667,51072,1/11/2013,CRITICAL
668,51648,1/18/2013,LOW
669,52035,1/25/2013,HIGH
670,52326,2/1/2013,LOW
671,52737,2/8/2013,NOT SPECIFIED
672,53216,2/15/2013,HIGH
673,54081,2/22/2013,LOW
674,54560,3/1/2013,CRITICAL
675,54947,3/8/2013,NOT SPECIFIED
676,55170,3/15/2013,CRITICAL
677,55777,3/22/2013,NOT SPECIFIED
678,56001,3/29/2013,LOW
679,56640,4/5/2013,HIGH
680,59393,4/12/2013,MEDIUM
681,59712,4/19/2013,CRITICAL
682,59905,4/26/2013,HIGH
683,322,5/3/2013,CRITICAL
684,962,5/10/2013,LOW
685,1221,5/17/2013,NOT SPECIFIED
686,1445,5/24/2013,MEDIUM
687,1799,5/31/2013,NOT SPECIFIED
688,2720,6/7/2013,CRITICAL
689,3685,6/14/2013,MEDIUM
690,3687,6/21/2013,CRITICAL
691,3907,6/28/2013,MEDIUM
692,4067,7/5/2013,HIGH
693,4257,7/12/2013,MEDIUM
694,4261,7/19/2013,CRITICAL
695,4294,7/26/2013,MEDIUM
696,4642,11/2/2012,CRITICAL
697,4864,11/9/2012,LOW
698,4996,11/16/2012,MEDIUM
699,5121,11/23/2012,NOT SPECIFIED
700,5346,11/30/2012,CRITICAL
701,5473,12/7/2012,NOT SPECIFIED
702,5698,12/14/2012,MEDIUM
703,6144,12/21/2012,CRITICAL
704,6374,12/28/2012,CRITICAL
705,7169,1/4/2013,MEDIUM
706,7427,1/11/2013,NOT SPECIFIED
707,8229,1/18/2013,MEDIUM
708,8290,1/25/2013,CRITICAL
709,8515,2/1/2013,CRITICAL
710,8801,2/8/2013,LOW
711,8992,2/15/2013,HIGH
712,9409,2/22/2013,CRITICAL
713,10306,3/1/2013,LOW
714,10470,3/8/2013,CRITICAL
715,10819,3/15/2013,CRITICAL
716,10916,3/22/2013,MEDIUM
717,10944,3/29/2013,HIGH
718,11301,4/5/2013,MEDIUM
719,11332,4/12/2013,LOW
720,11392,4/19/2013,LOW
721,11745,4/26/2013,HIGH
722,11875,5/3/2013,MEDIUM
723,11907,5/10/2013,LOW
724,12129,5/17/2013,MEDIUM
725,12579,5/24/2013,NOT SPECIFIED
726,12743,5/31/2013,HIGH
727,12902,6/7/2013,NOT SPECIFIED
728,13380,6/14/2013,CRITICAL
729,13606,6/21/2013,NOT SPECIFIED
730,13889,6/28/2013,MEDIUM
731,13984,7/5/2013,CRITICAL
732,13986,7/12/2013,HIGH
733,14240,7/19/2013,HIGH
734,14276,7/26/2013,MEDIUM
735,14471,11/2/2012,NOT SPECIFIED
736,14529,11/9/2012,LOW
737,14948,11/16/2012,MEDIUM
738,16161,11/23/2012,MEDIUM
739,16257,11/30/2012,NOT SPECIFIED
740,16806,12/7/2012,HIGH
741,17344,12/14/2012,CRITICAL
742,17382,12/21/2012,NOT SPECIFIED
