Ship_id,Order_ID,Ship_Mode,Ship_Date
63,10437,EXPRESS AIR,4/12/2013
64,10499,DELIVERY TRUCK,4/19/2013
65,10535,REGULAR AIR,4/26/2013
66,10789,REGULAR AIR,5/3/2013
67,10791,REGULAR AIR,5/10/2013
68,10945,REGULAR AIR,5/17/2013
69,11137,DELIVERY TRUCK,5/24/2013
70,11202,EXPRESS AIR,5/31/2013
71,11456,REGULAR AIR,6/7/2013
72,11460,REGULAR AIR,6/14/2013
73,11495,EXPRESS AIR,6/21/2013
74,11911,REGULAR AIR,6/28/2013
75,11941,REGULAR AIR,7/5/2013
76,12096,REGULAR AIR,7/12/2013
77,12289,EXPRESS AIR,7/19/2013
78,12352,DELIVERY TRUCK,7/26/2013
79,12419,EXPRESS AIR,11/2/2012
80,12485,REGULAR AIR,11/9/2012
81,12544,REGULAR AIR,11/16/2012
82,12704,DELIVERY TRUCK,11/23/2012
83,12771,REGULAR AIR,11/30/2012
84,12929,EXPRESS AIR,12/7/2012
85,13280,REGULAR AIR,12/14/2012
86,13313,REGULAR AIR,12/21/2012
87,13346,DELIVERY TRUCK,12/28/2012
88,13702,REGULAR AIR,1/4/2013
89,13795,REGULAR AIR,1/11/2013
90,14116,EXPRESS AIR,1/18/2013
91,14372,REGULAR AIR,1/25/2013
92,14726,REGULAR AIR,2/1/2013
93,14819,REGULAR AIR,2/8/2013
94,15106,REGULAR AIR,2/15/2013
95,15108,REGULAR AIR,2/22/2013
96,15205,REGULAR AIR,3/1/2013
97,15591,DELIVERY TRUCK,3/8/2013
98,15907,REGULAR AIR,3/15/2013
99,15937,REGULAR AIR,3/22/2013
100,16039,DELIVERY TRUCK,3/29/2013
101,16193,REGULAR AIR,4/5/2013
102,16423,REGULAR AIR,4/12/2013
103,16451,REGULAR AIR,4/19/2013
104,16545,REGULAR AIR,4/26/2013
105,16547,REGULAR AIR,5/3/2013
106,16706,DELIVERY TRUCK,5/10/2013
107,16741,REGULAR AIR,5/17/2013
108,16932,REGULAR AIR,5/24/2013
109,17283,DELIVERY TRUCK,5/31/2013
110,17286,REGULAR AIR,6/7/2013
111,17409,REGULAR AIR,6/14/2013
112,17764,DELIVERY TRUCK,6/21/2013
113,18080,REGULAR AIR,6/28/2013
114,18113,REGULAR AIR,7/5/2013
115,18144,REGULAR AIR,7/12/2013
116,18308,REGULAR AIR,7/19/2013
117,18887,REGULAR AIR,7/26/2013
118,19010,REGULAR AIR,11/2/2012
119,19078,EXPRESS AIR,11/9/2012
120,19138,REGULAR AIR,11/16/2012
121,19655,REGULAR AIR,11/23/2012
122,19686,REGULAR AIR,11/30/2012
123,20007,DELIVERY TRUCK,12/7/2012
124,20071,REGULAR AIR,12/14/2012
125,20160,REGULAR AIR,12/21/2012
126,20263,DELIVERY TRUCK,12/28/2012
127,21285,REGULAR AIR,1/4/2013
128,21383,DELIVERY TRUCK,1/11/2013
129,21607,REGULAR AIR,1/18/2013
130,21636,DELIVERY TRUCK,1/25/2013
131,21889,REGULAR AIR,2/1/2013
132,22151,REGULAR AIR,2/8/2013
133,22342,DELIVERY TRUCK,2/15/2013
134,22469,EXPRESS AIR,2/22/2013
135,22501,REGULAR AIR,3/1/2013
136,22532,REGULAR AIR,3/8/2013
137,23264,EXPRESS AIR,3/15/2013
138,23488,REGULAR AIR,3/22/2013
139,23584,REGULAR AIR,3/29/2013
140,24007,REGULAR AIR,4/5/2013
141,24038,REGULAR AIR,4/12/2013
142,24097,REGULAR AIR,4/19/2013
143,24128,DELIVERY TRUCK,4/26/2013
144,24294,DELIVERY TRUCK,5/3/2013
145,24387,REGULAR AIR,5/10/2013
146,24515,EXPRESS AIR,5/17/2013
147,24743,REGULAR AIR,5/24/2013
148,24871,REGULAR AIR,5/31/2013
149,25318,REGULAR AIR,6/7/2013
150,25377,DELIVERY TRUCK,6/14/2013
151,25634,DELIVERY TRUCK,6/21/2013
152,25733,REGULAR AIR,6/28/2013
153,25767,REGULAR AIR,7/5/2013
154,26023,DELIVERY TRUCK,7/12/2013
155,26051,DELIVERY TRUCK,7/19/2013
156,26116,REGULAR AIR,7/26/2013
157,26182,REGULAR AIR,11/2/2012
158,26272,REGULAR AIR,11/9/2012
159,26370,REGULAR AIR,11/16/2012
160,26499,REGULAR AIR,11/23/2012
161,26531,REGULAR AIR,11/30/2012
162,26567,REGULAR AIR,12/7/2012
163,26854,EXPRESS AIR,12/14/2012
164,27109,REGULAR AIR,12/21/2012
165,27111,REGULAR AIR,12/28/2012
166,27264,REGULAR AIR,1/4/2013
167,27392,REGULAR AIR,1/11/2013
168,27553,DELIVERY TRUCK,1/18/2013
169,27555,EXPRESS AIR,1/25/2013
170,27680,REGULAR AIR,2/1/2013
171,27778,REGULAR AIR,2/8/2013
172,27909,REGULAR AIR,2/15/2013
173,28003,REGULAR AIR,2/22/2013
174,28035,REGULAR AIR,3/1/2013
175,28135,REGULAR AIR,3/8/2013
176,28165,REGULAR AIR,3/15/2013
177,28289,REGULAR AIR,3/22/2013
178,28486,REGULAR AIR,3/29/2013
179,28675,REGULAR AIR,4/5/2013
180,28870,REGULAR AIR,4/12/2013
181,28871,REGULAR AIR,4/19/2013
182,29030,EXPRESS AIR,4/26/2013
183,29095,REGULAR AIR,5/3/2013
184,29287,REGULAR AIR,5/10/2013
185,29510,DELIVERY TRUCK,5/17/2013
186,29795,DELIVERY TRUCK,5/24/2013
187,29861,REGULAR AIR,5/31/2013
188,30658,REGULAR AIR,6/7/2013
189,30947,REGULAR AIR,6/14/2013
190,31077,REGULAR AIR,6/21/2013
191,31111,REGULAR AIR,6/28/2013
192,31169,REGULAR AIR,7/5/2013
193,31270,DELIVERY TRUCK,7/12/2013
194,31364,REGULAR AIR,7/19/2013
195,31393,DELIVERY TRUCK,7/26/2013
196,31492,DELIVERY TRUCK,11/2/2012
197,31558,DELIVERY TRUCK,11/9/2012
198,31618,REGULAR AIR,11/16/2012
199,31684,REGULAR AIR,11/23/2012
200,31781,EXPRESS AIR,11/30/2012
201,32193,DELIVERY TRUCK,12/7/2012
202,32229,REGULAR AIR,12/14/2012
203,32743,EXPRESS AIR,12/21/2012
204,32806,REGULAR AIR,12/28/2012
205,33123,REGULAR AIR,1/4/2013
206,33159,REGULAR AIR,1/11/2013
207,33186,REGULAR AIR,1/18/2013
208,33377,DELIVERY TRUCK,1/25/2013
209,33444,REGULAR AIR,2/1/2013
210,33703,REGULAR AIR,2/8/2013
211,33734,DELIVERY TRUCK,2/15/2013
212,33888,EXPRESS AIR,2/22/2013
213,33894,REGULAR AIR,3/1/2013
214,33922,EXPRESS AIR,3/8/2013
215,34177,REGULAR AIR,3/15/2013
216,34215,REGULAR AIR,3/22/2013
217,34246,REGULAR AIR,3/29/2013
218,34631,EXPRESS AIR,4/5/2013
219,35047,REGULAR AIR,4/12/2013
220,35266,REGULAR AIR,4/19/2013
221,35847,REGULAR AIR,4/26/2013
222,36001,REGULAR AIR,5/3/2013
223,36134,REGULAR AIR,5/10/2013
224,36135,EXPRESS AIR,5/17/2013
225,36644,REGULAR AIR,5/24/2013
226,36646,REGULAR AIR,5/31/2013
227,36707,DELIVERY TRUCK,6/7/2013
228,37253,REGULAR AIR,6/14/2013
229,37541,REGULAR AIR,6/21/2013
230,37634,REGULAR AIR,6/28/2013
231,37793,REGULAR AIR,7/5/2013
232,37860,DELIVERY TRUCK,7/12/2013
233,38884,REGULAR AIR,7/19/2013
234,39364,REGULAR AIR,7/26/2013
235,39457,REGULAR AIR,11/2/2012
236,39683,REGULAR AIR,11/9/2012
237,39846,REGULAR AIR,11/16/2012
238,40036,REGULAR AIR,11/23/2012
239,40067,REGULAR AIR,11/30/2012
240,40132,REGULAR AIR,12/7/2012
241,40160,REGULAR AIR,12/14/2012
242,40518,REGULAR AIR,12/21/2012
243,40804,REGULAR AIR,12/28/2012
244,40902,REGULAR AIR,1/4/2013
245,41063,REGULAR AIR,1/11/2013
246,41153,REGULAR AIR,1/18/2013
247,41184,REGULAR AIR,1/25/2013
248,41409,DELIVERY TRUCK,2/1/2013
249,41696,DELIVERY TRUCK,2/8/2013
250,42209,REGULAR AIR,2/15/2013
251,42561,DELIVERY TRUCK,2/22/2013
252,42564,REGULAR AIR,3/1/2013
253,42695,REGULAR AIR,3/8/2013
254,42981,REGULAR AIR,3/15/2013
255,43109,REGULAR AIR,3/22/2013
256,43203,REGULAR AIR,3/29/2013
257,43236,REGULAR AIR,4/5/2013
258,43267,REGULAR AIR,4/12/2013
259,43329,DELIVERY TRUCK,4/19/2013
260,43330,DELIVERY TRUCK,4/26/2013
261,43364,REGULAR AIR,5/3/2013
262,43392,REGULAR AIR,5/10/2013
263,43781,REGULAR AIR,5/17/2013
264,44071,REGULAR AIR,5/24/2013
265,44519,REGULAR AIR,5/31/2013
266,44708,EXPRESS AIR,6/7/2013
267,44772,REGULAR AIR,6/14/2013
268,44839,REGULAR AIR,6/21/2013
269,45217,REGULAR AIR,6/28/2013
270,45440,REGULAR AIR,7/5/2013
271,45766,REGULAR AIR,7/12/2013
272,45861,EXPRESS AIR,7/19/2013
273,45957,REGULAR AIR,7/26/2013
274,46912,EXPRESS AIR,11/2/2012
275,46980,REGULAR AIR,11/9/2012
276,47460,REGULAR AIR,11/16/2012
277,47462,REGULAR AIR,11/23/2012
278,47620,REGULAR AIR,11/30/2012
279,47749,REGULAR AIR,12/7/2012
280,47873,DELIVERY TRUCK,12/14/2012
281,47943,REGULAR AIR,12/21/2012
282,48101,REGULAR AIR,12/28/2012
283,48295,REGULAR AIR,1/4/2013
284,48839,REGULAR AIR,1/11/2013
285,49154,REGULAR AIR,1/18/2013
286,49921,REGULAR AIR,1/25/2013
287,49952,REGULAR AIR,2/1/2013
288,50117,EXPRESS AIR,2/8/2013
289,50278,REGULAR AIR,2/15/2013
290,50374,REGULAR AIR,2/22/2013
291,50565,REGULAR AIR,3/1/2013
292,50688,DELIVERY TRUCK,3/8/2013
293,50754,REGULAR AIR,3/15/2013
294,50914,REGULAR AIR,3/22/2013
295,51169,REGULAR AIR,3/29/2013
296,51938,EXPRESS AIR,4/5/2013
297,51970,DELIVERY TRUCK,4/12/2013
298,51971,REGULAR AIR,4/19/2013
299,52193,REGULAR AIR,4/26/2013
300,52321,REGULAR AIR,5/3/2013
301,52386,REGULAR AIR,5/10/2013
302,52807,REGULAR AIR,5/17/2013
303,52929,REGULAR AIR,5/24/2013
304,52964,REGULAR AIR,5/31/2013
305,53156,REGULAR AIR,6/7/2013
306,53511,REGULAR AIR,6/14/2013
307,53797,DELIVERY TRUCK,6/21/2013
308,53990,EXPRESS AIR,6/28/2013
309,54083,REGULAR AIR,7/5/2013
310,54274,REGULAR AIR,7/12/2013
311,54276,REGULAR AIR,7/19/2013
312,54528,REGULAR AIR,7/26/2013
313,54567,REGULAR AIR,11/2/2012
314,54628,EXPRESS AIR,11/9/2012
315,55298,REGULAR AIR,11/16/2012
316,55363,REGULAR AIR,11/23/2012
317,55366,REGULAR AIR,11/30/2012
318,55715,EXPRESS AIR,12/7/2012
319,55875,REGULAR AIR,12/14/2012
320,56453,REGULAR AIR,12/21/2012
321,57127,REGULAR AIR,12/28/2012
322,57344,REGULAR AIR,1/4/2013
323,57509,DELIVERY TRUCK,1/11/2013
324,57600,REGULAR AIR,1/18/2013
325,58055,REGULAR AIR,1/25/2013
326,58144,DELIVERY TRUCK,2/1/2013
327,58150,REGULAR AIR,2/8/2013
328,58340,REGULAR AIR,2/15/2013
329,58368,REGULAR AIR,2/22/2013
330,58434,REGULAR AIR,3/1/2013
331,58626,REGULAR AIR,3/8/2013
332,58688,REGULAR AIR,3/15/2013
333,59045,DELIVERY TRUCK,3/22/2013
334,59047,REGULAR AIR,3/29/2013
335,59202,REGULAR AIR,4/5/2013
336,59207,REGULAR AIR,4/12/2013
337,59234,DELIVERY TRUCK,4/19/2013
338,59395,REGULAR AIR,4/26/2013
339,59558,REGULAR AIR,5/3/2013
340,59585,REGULAR AIR,5/10/2013
341,59651,REGULAR AIR,5/17/2013
342,645,REGULAR AIR,5/24/2013
343,769,REGULAR AIR,5/31/2013
344,773,EXPRESS AIR,6/7/2013
345,1187,REGULAR AIR,6/14/2013
346,2339,REGULAR AIR,6/21/2013
347,3521,EXPRESS AIR,6/28/2013
348,4007,DELIVERY TRUCK,7/5/2013
349,4416,REGULAR AIR,7/12/2013
350,4454,REGULAR AIR,7/19/2013
351,5153,REGULAR AIR,7/26/2013
352,5446,REGULAR AIR,11/2/2012
353,8131,REGULAR AIR,11/9/2012
354,8994,EXPRESS AIR,11/16/2012
355,9027,REGULAR AIR,11/23/2012
356,9216,REGULAR AIR,11/30/2012
357,9537,REGULAR AIR,12/7/2012
358,9574,REGULAR AIR,12/14/2012
359,10435,REGULAR AIR,12/21/2012
360,10851,EXPRESS AIR,12/28/2012
361,10852,REGULAR AIR,1/4/2013
362,11269,REGULAR AIR,1/11/2013
363,11362,DELIVERY TRUCK,1/18/2013
364,11968,REGULAR AIR,1/25/2013
365,12293,EXPRESS AIR,2/1/2013
366,12773,EXPRESS AIR,2/8/2013
367,12934,REGULAR AIR,2/15/2013
368,13120,DELIVERY TRUCK,2/22/2013
369,13604,REGULAR AIR,3/1/2013
370,13927,REGULAR AIR,3/8/2013
371,15044,REGULAR AIR,3/15/2013
372,15139,REGULAR AIR,3/22/2013
373,15463,REGULAR AIR,3/29/2013
374,15618,REGULAR AIR,4/5/2013
375,16100,REGULAR AIR,4/12/2013
376,16320,REGULAR AIR,4/19/2013
377,16419,REGULAR AIR,4/26/2013
378,17090,REGULAR AIR,5/3/2013
379,17315,REGULAR AIR,5/10/2013
380,17376,REGULAR AIR,5/17/2013
381,18210,REGULAR AIR,5/24/2013
382,18273,REGULAR AIR,5/31/2013
383,18788,REGULAR AIR,6/7/2013
384,19042,REGULAR AIR,6/14/2013
385,19073,REGULAR AIR,6/21/2013
386,19365,DELIVERY TRUCK,6/28/2013
387,19617,REGULAR AIR,7/5/2013
388,20033,EXPRESS AIR,7/12/2013
389,21223,REGULAR AIR,7/19/2013
390,21378,REGULAR AIR,7/26/2013
391,21542,DELIVERY TRUCK,11/2/2012
392,22656,REGULAR AIR,11/9/2012
393,22695,REGULAR AIR,11/16/2012
394,23076,REGULAR AIR,11/23/2012
395,24067,REGULAR AIR,11/30/2012
396,24388,REGULAR AIR,12/7/2012
397,24451,REGULAR AIR,12/14/2012
398,24806,REGULAR AIR,12/21/2012
399,24965,DELIVERY TRUCK,12/28/2012
400,25154,REGULAR AIR,1/4/2013
401,25315,EXPRESS AIR,1/11/2013
402,25376,REGULAR AIR,1/18/2013
403,26240,REGULAR AIR,1/25/2013
404,26791,DELIVERY TRUCK,2/1/2013
405,28836,DELIVERY TRUCK,2/8/2013
406,28995,REGULAR AIR,2/15/2013
407,29121,EXPRESS AIR,2/22/2013
408,29319,REGULAR AIR,3/1/2013
409,29382,REGULAR AIR,3/8/2013
410,29445,REGULAR AIR,3/15/2013
411,29762,REGULAR AIR,3/22/2013
412,30048,REGULAR AIR,3/29/2013
413,30243,DELIVERY TRUCK,4/5/2013
414,30372,REGULAR AIR,4/12/2013
415,30499,DELIVERY TRUCK,4/19/2013
416,32199,REGULAR AIR,4/26/2013
417,32327,REGULAR AIR,5/3/2013
418,32676,REGULAR AIR,5/10/2013
419,32835,REGULAR AIR,5/17/2013
420,32869,REGULAR AIR,5/24/2013
421,33763,DELIVERY TRUCK,5/31/2013
422,34048,REGULAR AIR,6/7/2013
423,34275,REGULAR AIR,6/14/2013
424,34438,EXPRESS AIR,6/21/2013
425,34880,REGULAR AIR,6/28/2013
426,34978,REGULAR AIR,7/5/2013
427,35141,DELIVERY TRUCK,7/12/2013
428,35300,REGULAR AIR,7/19/2013
429,35558,REGULAR AIR,7/26/2013
430,36293,EXPRESS AIR,11/2/2012
431,36516,DELIVERY TRUCK,11/9/2012
432,36677,REGULAR AIR,11/16/2012
433,37185,REGULAR AIR,11/23/2012
434,37888,REGULAR AIR,11/30/2012
435,38310,REGULAR AIR,12/7/2012
436,40327,REGULAR AIR,12/14/2012
437,40480,REGULAR AIR,12/21/2012
438,40800,REGULAR AIR,12/28/2012
439,40835,EXPRESS AIR,1/4/2013
440,40871,REGULAR AIR,1/11/2013
441,41570,DELIVERY TRUCK,1/18/2013
442,41991,DELIVERY TRUCK,1/25/2013
443,42400,REGULAR AIR,2/1/2013
444,42754,REGULAR AIR,2/8/2013
445,42918,REGULAR AIR,2/15/2013
446,42944,REGULAR AIR,2/22/2013
447,44037,REGULAR AIR,3/1/2013
448,44387,REGULAR AIR,3/8/2013
449,44576,REGULAR AIR,3/15/2013
450,45601,DELIVERY TRUCK,3/22/2013
451,45606,REGULAR AIR,3/29/2013
452,46119,DELIVERY TRUCK,4/5/2013
453,46756,EXPRESS AIR,4/12/2013
454,47714,REGULAR AIR,4/19/2013
455,47846,REGULAR AIR,4/26/2013
456,47876,REGULAR AIR,5/3/2013
457,48067,REGULAR AIR,5/10/2013
458,48199,DELIVERY TRUCK,5/17/2013
459,49029,REGULAR AIR,5/24/2013
460,49216,REGULAR AIR,5/31/2013
461,49990,REGULAR AIR,6/7/2013
462,50081,REGULAR AIR,6/14/2013
463,50404,REGULAR AIR,6/21/2013
464,50784,REGULAR AIR,6/28/2013
465,50850,REGULAR AIR,7/5/2013
466,51075,EXPRESS AIR,7/12/2013
467,51461,REGULAR AIR,7/19/2013
468,51558,REGULAR AIR,7/26/2013
469,52130,REGULAR AIR,11/2/2012
470,52482,REGULAR AIR,11/9/2012
471,53410,DELIVERY TRUCK,11/16/2012
472,53477,DELIVERY TRUCK,11/23/2012
473,53508,REGULAR AIR,11/30/2012
474,53703,REGULAR AIR,12/7/2012
475,54115,REGULAR AIR,12/14/2012
476,54437,REGULAR AIR,12/21/2012
477,54501,REGULAR AIR,12/28/2012
478,54753,REGULAR AIR,1/4/2013
479,55138,DELIVERY TRUCK,1/11/2013
480,55271,EXPRESS AIR,1/18/2013
481,55331,REGULAR AIR,1/25/2013
482,55618,REGULAR AIR,2/1/2013
483,56645,REGULAR AIR,2/8/2013
484,56803,REGULAR AIR,2/15/2013
485,57159,REGULAR AIR,2/22/2013
486,57507,REGULAR AIR,3/1/2013
487,57922,REGULAR AIR,3/8/2013
488,58117,REGULAR AIR,3/15/2013
489,58278,REGULAR AIR,3/22/2013
490,58502,REGULAR AIR,3/29/2013
491,58788,EXPRESS AIR,4/5/2013
492,58947,REGULAR AIR,4/12/2013
493,59074,REGULAR AIR,4/19/2013
494,59233,REGULAR AIR,4/26/2013
495,59425,REGULAR AIR,5/3/2013
496,59750,EXPRESS AIR,5/10/2013
497,35,REGULAR AIR,5/17/2013
498,294,DELIVERY TRUCK,5/24/2013
499,450,DELIVERY TRUCK,5/31/2013
500,1028,EXPRESS AIR,6/7/2013
501,1314,REGULAR AIR,6/14/2013
502,2279,REGULAR AIR,6/21/2013
503,2465,REGULAR AIR,6/28/2013
504,2530,REGULAR AIR,7/5/2013
505,2883,REGULAR AIR,7/12/2013
506,3362,DELIVERY TRUCK,7/19/2013
507,5318,DELIVERY TRUCK,7/26/2013
508,5988,REGULAR AIR,11/2/2012
509,6115,REGULAR AIR,11/9/2012
510,6337,REGULAR AIR,11/16/2012
511,6434,REGULAR AIR,11/23/2012
512,7136,REGULAR AIR,11/30/2012
513,7489,REGULAR AIR,12/7/2012
514,7968,REGULAR AIR,12/14/2012
515,8227,EXPRESS AIR,12/21/2012
516,9123,REGULAR AIR,12/28/2012
517,9792,REGULAR AIR,1/4/2013
518,9860,REGULAR AIR,1/11/2013
519,10310,REGULAR AIR,1/18/2013
520,10369,DELIVERY TRUCK,1/25/2013
521,10692,REGULAR AIR,2/1/2013
522,11553,REGULAR AIR,2/8/2013
523,11776,REGULAR AIR,2/15/2013
524,11782,REGULAR AIR,2/22/2013
525,12199,DELIVERY TRUCK,3/1/2013
526,14275,EXPRESS AIR,3/8/2013
527,14535,REGULAR AIR,3/15/2013
528,15329,REGULAR AIR,3/22/2013
529,15621,EXPRESS AIR,3/29/2013
530,17826,REGULAR AIR,4/5/2013
531,17926,EXPRESS AIR,4/12/2013
532,18247,DELIVERY TRUCK,4/19/2013
533,18471,DELIVERY TRUCK,4/26/2013
534,19813,REGULAR AIR,5/3/2013
535,20322,EXPRESS AIR,5/10/2013
536,20422,REGULAR AIR,5/17/2013
537,20448,REGULAR AIR,5/24/2013
538,21892,EXPRESS AIR,5/31/2013
539,22980,REGULAR AIR,6/7/2013
540,23907,DELIVERY TRUCK,6/14/2013
541,24064,REGULAR AIR,6/21/2013
542,24132,REGULAR AIR,6/28/2013
543,24576,REGULAR AIR,7/5/2013
544,25248,REGULAR AIR,7/12/2013
545,25475,REGULAR AIR,7/19/2013
546,26978,REGULAR AIR,7/26/2013
547,27105,REGULAR AIR,11/2/2012
548,28068,REGULAR AIR,11/9/2012
549,28802,REGULAR AIR,11/16/2012
550,28839,EXPRESS AIR,11/23/2012
551,29252,REGULAR AIR,11/30/2012
552,31941,EXPRESS AIR,12/7/2012
553,32418,DELIVERY TRUCK,12/14/2012
554,34241,REGULAR AIR,12/21/2012
555,34816,DELIVERY TRUCK,12/28/2012
556,35011,REGULAR AIR,1/4/2013
557,36068,REGULAR AIR,1/11/2013
558,36930,REGULAR AIR,1/18/2013
559,37315,REGULAR AIR,1/25/2013
560,37925,REGULAR AIR,2/1/2013
561,38021,DELIVERY TRUCK,2/8/2013
562,38336,REGULAR AIR,2/15/2013
563,38565,REGULAR AIR,2/22/2013
564,39783,REGULAR AIR,3/1/2013
565,42500,REGULAR AIR,3/8/2013
566,44162,REGULAR AIR,3/15/2013
567,44256,REGULAR AIR,3/22/2013
568,44320,REGULAR AIR,3/29/2013
569,45377,REGULAR AIR,4/5/2013
570,47367,REGULAR AIR,4/12/2013
571,47750,REGULAR AIR,4/19/2013
572,48388,REGULAR AIR,4/26/2013
573,49059,REGULAR AIR,5/3/2013
574,49510,REGULAR AIR,5/10/2013
575,49634,REGULAR AIR,5/17/2013
576,50210,EXPRESS AIR,5/24/2013
577,50503,REGULAR AIR,5/31/2013
578,50816,REGULAR AIR,6/7/2013
579,51073,REGULAR AIR,6/14/2013
580,51584,REGULAR AIR,6/21/2013
581,51879,REGULAR AIR,6/28/2013
582,52288,REGULAR AIR,7/5/2013
583,53190,EXPRESS AIR,7/12/2013
584,53536,REGULAR AIR,7/19/2013
585,53572,REGULAR AIR,7/26/2013
586,53825,REGULAR AIR,11/2/2012
587,53863,REGULAR AIR,11/9/2012
588,54119,REGULAR AIR,11/16/2012
589,56224,DELIVERY TRUCK,11/23/2012
590,56293,REGULAR AIR,11/30/2012
591,57959,DELIVERY TRUCK,12/7/2012
592,58500,REGULAR AIR,12/14/2012
593,59584,REGULAR AIR,12/21/2012
594,261,REGULAR AIR,12/28/2012
595,928,REGULAR AIR,1/4/2013
596,1282,REGULAR AIR,1/11/2013
597,1856,DELIVERY TRUCK,1/18/2013
598,1925,REGULAR AIR,1/25/2013
599,2848,EXPRESS AIR,2/1/2013
600,5504,REGULAR AIR,2/8/2013
601,8390,DELIVERY TRUCK,2/15/2013
602,8545,REGULAR AIR,2/22/2013
603,9573,REGULAR AIR,3/1/2013
604,9892,REGULAR AIR,3/8/2013
605,10048,REGULAR AIR,3/15/2013
606,10144,DELIVERY TRUCK,3/22/2013
607,10432,REGULAR AIR,3/29/2013
608,10661,REGULAR AIR,4/5/2013
609,12806,REGULAR AIR,4/12/2013
610,13158,REGULAR AIR,4/19/2013
611,13507,REGULAR AIR,4/26/2013
612,14375,EXPRESS AIR,5/3/2013
613,14627,EXPRESS AIR,5/10/2013
614,14852,REGULAR AIR,5/17/2013
615,16230,EXPRESS AIR,5/24/2013
616,19074,REGULAR AIR,5/31/2013
617,20194,DELIVERY TRUCK,6/7/2013
618,21024,EXPRESS AIR,6/14/2013
619,21509,DELIVERY TRUCK,6/21/2013
620,21856,DELIVERY TRUCK,6/28/2013
621,22119,REGULAR AIR,7/5/2013
622,22534,REGULAR AIR,7/12/2013
623,22629,REGULAR AIR,7/19/2013
624,23011,REGULAR AIR,7/26/2013
625,24070,DELIVERY TRUCK,11/2/2012
626,24737,EXPRESS AIR,11/9/2012
627,26373,REGULAR AIR,11/16/2012
628,27174,REGULAR AIR,11/23/2012
629,27876,DELIVERY TRUCK,11/30/2012
630,28582,REGULAR AIR,12/7/2012
631,28868,EXPRESS AIR,12/14/2012
632,29857,REGULAR AIR,12/21/2012
633,29921,REGULAR AIR,12/28/2012
634,30659,DELIVERY TRUCK,1/4/2013
635,30660,DELIVERY TRUCK,1/11/2013
636,30883,REGULAR AIR,1/18/2013
637,32871,REGULAR AIR,1/25/2013
638,33600,REGULAR AIR,2/1/2013
639,33632,REGULAR AIR,2/8/2013
640,33665,REGULAR AIR,2/15/2013
641,34434,REGULAR AIR,2/22/2013
642,34753,REGULAR AIR,3/1/2013
643,35364,REGULAR AIR,3/8/2013
644,35812,REGULAR AIR,3/15/2013
645,37063,REGULAR AIR,3/22/2013
646,37281,DELIVERY TRUCK,3/29/2013
647,37798,REGULAR AIR,4/5/2013
