Ord_id,Prod_id,Ship_id,Cust_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Order_Date,Market_id
226,226,226,226,123.15,0.05,23,22.98,2.04,0.36,5/31/2013,226
227,227,227,227,477.5045,0.09,17,245.56,5,0.85,6/7/2013,227
228,228,228,228,763.6485,0.06,8,277.78,5.26,0.57,6/14/2013,228
229,229,229,229,1449.3,0.08,24,712.14,49,0.59,6/21/2013,229
230,230,230,230,125.54,0.03,14,15.74,6.16,0.35,6/28/2013,230
231,231,231,231,2343.076,0.06,24,311.64,8.99,0.58,7/5/2013,231
232,232,232,232,118.36,0.08,17,60.65,7.37,0.37,7/12/2013,232
233,233,233,233,784.72,0.01,43,87.96,4,0.79,7/19/2013,233
234,234,234,234,919,0,50,89.6,8.99,0.47,7/26/2013,234
235,235,235,235,1865.94,0.04,11,116.1,30,0.62,11/2/2012,235
236,236,236,236,201.37,0.1,30,59.84,1.6,0.38,11/9/2012,236
237,237,237,237,1500.17,0.06,40,423.87,1.99,0.51,11/16/2012,237
238,238,238,238,4283.235,0.1,44,676.13,8.8,0.59,11/23/2012,238
239,239,239,239,377.31,0.02,45,87.96,2.87,0.4,11/30/2012,239
240,240,240,240,4374.6865,0.05,43,973.16,8.08,0.57,12/7/2012,240
241,241,241,241,161.28,0.01,46,56.73,0.76,0.39,12/14/2012,241
242,242,242,242,5549.79,0.09,47,1300.8,17.85,0.56,12/21/2012,242
243,243,243,243,250.75,0.02,13,43.52,9.47,0.59,12/28/2012,243
244,244,244,244,821.7885,0.06,18,230.34,5,0.8,1/4/2013,244
245,245,245,245,1356.45,0.02,37,47.65,19.99,0.38,1/11/2013,245
246,246,246,246,164.22,0.1,28,124.72,7.5,0.4,1/18/2013,246
247,247,247,247,313.05,0.02,31,81.87,1.99,0.43,1/25/2013,247
248,248,248,248,815.89,0.1,43,20.25,4,0.68,2/1/2013,248
249,249,249,249,135.91,0.07,25,37.5,1.21,0.4,2/8/2013,249
250,250,250,250,30.61,0.09,11,3.38,1.49,0.36,2/15/2013,250
251,251,251,251,452.93,0.09,43,172.34,6.5,0.64,2/22/2013,251
252,252,252,252,200.7,0.02,29,147.72,9.17,0.37,3/1/2013,252
253,253,253,253,9459.94,0.04,31,2023.75,54.92,0.55,3/8/2013,253
254,254,254,254,311.1,0.04,45,86.6,2,0.39,3/15/2013,254
255,255,255,255,5634.3525,0.03,34,1185.41,8.08,0.59,3/22/2013,255
256,256,256,256,228.46,0.01,47,112.06,0.5,0.36,3/29/2013,256
257,257,257,257,77.61,0.09,19,16.79,1.3,0.37,4/5/2013,257
258,258,258,258,95.26,0.02,26,89.06,5,0.56,4/12/2013,258
259,259,259,259,1358.776,0.01,3,163.2,45.7,0.71,4/19/2013,259
260,260,260,260,1191.73,0.07,13,147.6,13.99,0.38,4/26/2013,260
261,261,261,261,95.71,0.04,38,32.81,0.5,0.39,5/3/2013,261
262,262,262,262,99.94,0.07,46,55.84,1.99,0.55,5/10/2013,262
263,263,263,263,18.7,0.07,11,3.36,0.7,0.56,5/17/2013,263
264,264,264,264,122.23,0.03,29,24.55,1.2,0.44,5/24/2013,264
265,265,265,265,4524.907,0.07,47,1464.87,2.5,0.55,5/31/2013,265
266,266,266,266,3301.33,0.05,23,307.46,36.09,0.77,6/7/2013,266
267,267,267,267,172.33,0.04,26,52.21,5.74,0.37,6/14/2013,267
268,268,268,268,412.37,0.06,46,2.71,3.5,0.58,6/21/2013,268
269,269,269,269,53.46,0.02,7,17.58,5.9,0.37,6/28/2013,269
270,270,270,270,852.75,0.08,29,358.73,1.49,0.37,7/5/2013,270
271,271,271,271,5638.798,0.09,33,1406.05,3,0.58,7/12/2013,271
272,272,272,272,126.95,0.06,28,45.87,0.99,0.39,7/19/2013,272
273,273,273,273,881.65,0.08,50,41.27,9.03,0.37,7/26/2013,273
274,274,274,274,1281.358,0.09,14,90.12,5.99,0.57,11/2/2012,274
275,275,275,275,203.49,0.05,34,90.35,0.5,0.39,11/9/2012,275
276,276,276,276,2013.8,0.01,16,98.43,56.14,0.39,11/16/2012,276
277,277,277,277,1128.03,0.01,25,256.3,6.22,NA,11/23/2012,277
278,278,278,278,320.57,0.1,46,114.2,6.05,0.39,11/30/2012,278
279,279,279,279,1734.4,0.02,49,749.16,1.99,0.43,12/7/2012,279
280,280,280,280,901.32,0.1,25,338.01,5.08,0.38,12/14/2012,280
281,281,281,281,207.21,0.06,24,78.64,6.14,0.59,12/21/2012,281
282,282,282,282,105.13,0.08,4,103.23,4,0.75,12/28/2012,282
283,283,283,283,964.09,0.02,44,105.37,5.53,0.59,1/4/2013,283
284,284,284,284,18.7,0.1,3,14.69,5.83,0.36,1/11/2013,284
285,285,285,285,391.42,0.04,38,25.03,5.12,0.4,1/18/2013,285
286,286,286,286,2980.372,0.02,19,494.63,8.99,0.57,1/25/2013,286
287,287,287,287,36.65,0.03,6,0.43,0.91,0.51,2/1/2013,287
288,288,288,288,50.42,0.06,10,7.25,1.49,0.36,2/8/2013,288
289,289,289,289,140.74,0.01,39,92.29,3.97,0.56,2/15/2013,289
290,290,290,290,5188.86,0.1,48,395.12,8.64,0.78,2/22/2013,290
291,291,291,291,171.71,0.06,1,343.47,56.14,0.4,3/1/2013,291
292,292,292,292,47.44,0.09,17,14.49,0.5,0.38,3/8/2013,292
293,293,293,293,680.8585,0.05,39,319.1,0.99,0.37,3/15/2013,293
294,294,294,294,30.68,0.02,15,37.39,4.08,0.53,3/22/2013,294
295,295,295,295,248.26,0.07,16,93.8,1.39,0.4,3/29/2013,295
296,296,296,296,372.09,0.04,16,98.28,1.99,0.43,4/5/2013,296
297,297,297,297,212.91,0,3,65.15,3.5,0.59,4/12/2013,297
298,298,298,298,321.02,0.1,37,11.88,3.5,0.58,4/19/2013,298
299,299,299,299,1275.61,0.08,35,517.33,5.08,0.38,4/26/2013,299
300,300,300,300,447.12,0.08,43,14.27,5.16,0.57,5/3/2013,300
301,301,301,301,862.64,0.04,23,122.11,14.72,0.4,5/10/2013,301
302,302,302,302,5972.59,0.06,3,4852.53,14.7,0.55,5/17/2013,302
303,303,303,303,1457.712,0.03,24,1565.89,89.3,0.69,5/24/2013,303
304,304,304,304,158.91,0.06,24,38.57,5.2,0.37,5/31/2013,304
305,305,305,305,95.09,0.09,9,13.53,3.37,0.57,6/7/2013,305
306,306,306,306,150.06,0.02,49,30.97,0.7,0.56,6/14/2013,306
307,307,307,307,122.09,0.04,6,15.2,9.54,0.37,6/21/2013,307
308,308,308,308,267,0.09,19,2.83,7.17,0.38,6/28/2013,308
309,309,309,309,381.6,0.1,2,319.02,19.99,0.71,7/5/2013,309
310,310,310,310,60.5625,0.02,2,165.54,1.1,0.55,7/12/2013,310
311,311,311,311,817.53,0.03,34,76.63,11.54,0.39,7/19/2013,311
312,312,312,312,81.9,0.01,27,4.06,0.96,0.58,7/26/2013,312
313,313,313,313,182.47,0.05,17,3.18,3.37,0.57,11/2/2012,313
314,314,314,314,132.12,0.07,37,54.78,0.5,0.37,11/9/2012,314
315,315,315,315,2230.97,0.06,12,273.27,26.2,0.59,11/16/2012,315
316,316,316,316,200.77,0.01,25,60.61,7.98,0.42,11/23/2012,316
317,317,317,317,907.24,0.07,6,634.73,69,0.68,11/30/2012,317
318,318,318,318,353.02,0,7,72.55,5.1,0.46,12/7/2012,318
319,319,319,319,65.12,0.07,38,1.42,1,0.35,12/14/2012,319
320,320,320,320,1326.69,0,37,185.37,8.74,0.61,12/21/2012,320
321,321,321,321,60.92,0.07,33,17.2,1.49,0.37,12/28/2012,321
322,322,322,322,193.25,0.03,19,71.55,1.09,0.43,1/4/2013,322
323,323,323,323,205.87,0.03,35,65.88,1.46,0.39,1/11/2013,323
324,324,324,324,25.96,0.06,2,29.29,6.24,0.36,1/18/2013,324
325,325,325,325,3638.27,0.04,45,1123.79,4.5,0.59,1/25/2013,325
326,326,326,326,51.27,0.06,7,3.27,2.17,0.38,2/1/2013,326
327,327,327,327,387.17,0.01,8,190.6,4.8,0.68,2/8/2013,327
328,328,328,328,92.02,0.07,9,24.88,4.68,0.59,2/15/2013,328
329,329,329,329,495.5,0.06,44,12.67,6.97,0.35,2/22/2013,329
330,330,330,330,557.52,0.03,47,157.3,7.95,0.58,3/1/2013,330
331,331,331,331,642.9145,0.01,11,118.8,8.99,0.6,3/8/2013,331
332,332,332,332,24.76,0.09,9,1.82,0.7,0.56,3/15/2013,332
333,333,333,333,325.8,0.03,45,84.85,6.18,0.39,3/22/2013,333
334,334,334,334,187.37,0.09,6,125.96,5.5,0.75,3/29/2013,334
335,335,335,335,3644.596,0.06,44,1104.32,4.9,0.56,4/5/2013,335
336,336,336,336,112.42,0.09,20,7.4,2.5,0.36,4/12/2013,336
337,337,337,337,963.45,0.05,22,94.03,4,0.64,4/19/2013,337
338,338,338,338,2504.41,0.01,30,547.89,48.2,0.74,4/26/2013,338
339,339,339,339,356.09,0.05,23,155.82,1.39,0.38,5/3/2013,339
340,340,340,340,979.44,0.01,46,320.67,5.86,0.38,5/10/2013,340
341,341,341,341,4390.029,0,25,1007.49,5.26,0.56,5/17/2013,341
342,342,342,342,7922.69,0.1,21,1558.79,19.99,0.58,5/24/2013,342
343,343,343,343,241.92,0.1,26,67.71,2.27,0.36,5/31/2013,343
344,344,344,344,10.62,0.07,3,3.96,1.35,0.4,6/7/2013,344
345,345,345,345,351.3,0.06,10,1.45,8.22,0.57,6/14/2013,345
346,346,346,346,486.43,0,15,285.35,3.92,0.44,6/21/2013,346
347,347,347,347,1692.28,0.1,46,61,4,0.7,6/28/2013,347
348,348,348,348,144.95,0.08,7,10.82,5.86,0.38,7/5/2013,348
349,349,349,349,666.4,0,39,2.02,7.42,0.56,7/12/2013,349
350,350,350,350,2827.1425,0.01,35,713.88,4.9,0.56,7/19/2013,350
351,351,351,351,66.55,0.01,40,15.13,1.29,0.42,7/26/2013,351
352,352,352,352,278.68,0.06,20,8.9,6.46,0.38,11/2/2012,352
353,353,353,353,717.468,0.01,23,316.48,0.99,0.35,11/9/2012,353
